,countriesAndTerritories,rankpunteggiocasi,countriesAndTerritories,countriesAndTerritories,casimed,countriesAndTerritories,tendenzacasi,index,2020-05-24 00:00:00,countriesAndTerritories,casitot
0,Afghanistan,31.0,Afghanistan,Afghanistan,14.9,Afghanistan,2,Afghanistan,782,Afghanistan,9998
1,Albania,115.0,Albania,Albania,2.5,Albania,0,Albania,8,Albania,989
2,Algeria,60.0,Algeria,Algeria,4.3,Algeria,1,Algeria,195,Algeria,8113
3,Andorra,134.0,Andorra,Andorra,2.2,Andorra,1,Andorra,0,Andorra,762
4,Angola,159.0,Angola,Angola,0.1,Angola,2,Angola,0,Angola,60
5,Antigua_and_Barbuda,191.0,Antigua_and_Barbuda,Antigua_and_Barbuda,0.0,Antigua_and_Barbuda,1,Antigua_and_Barbuda,0,Antigua_and_Barbuda,25
6,Argentina,29.0,Argentina,Argentina,13.3,Argentina,2,Argentina,704,Argentina,11340
7,Armenia,35.0,Armenia,Armenia,103.3,Armenia,2,Armenia,374,Armenia,6302
8,Aruba,185.0,Aruba,Aruba,0.0,Aruba,1,Aruba,0,Aruba,101
9,Australia,104.0,Australia,Australia,0.4,Australia,0,Australia,11,Australia,7106
10,Austria,65.0,Austria,Austria,4.8,Austria,0,Austria,46,Austria,16407
11,Azerbaijan,56.0,Azerbaijan,Azerbaijan,11.9,Azerbaijan,0,Azerbaijan,127,Azerbaijan,3982
12,Bahamas,155.0,Bahamas,Bahamas,1.7,Bahamas,2,Bahamas,3,Bahamas,100
13,Bahrain,30.0,Bahrain,Bahrain,196.0,Bahrain,2,Bahrain,388,Bahrain,8802
14,Bangladesh,28.0,Bangladesh,Bangladesh,10.1,Bangladesh,2,Bangladesh,1873,Bangladesh,32078
15,Barbados,153.0,Barbados,Barbados,2.3,Barbados,0,Barbados,2,Barbados,92
16,Belarus,11.0,Belarus,Belarus,98.3,Belarus,1,Belarus,941,Belarus,35244
17,Belgium,22.0,Belgium,Belgium,22.3,Belgium,0,Belgium,299,Belgium,56810
18,Belize,193.0,Belize,Belize,0.0,Belize,1,Belize,0,Belize,18
19,Benin,172.0,Benin,Benin,-3.0,Benin,0,Benin,0,Benin,135
20,Bermuda,101.0,Bermuda,Bermuda,26.1,Bermuda,2,Bermuda,5,Bermuda,133
21,Bhutan,169.0,Bhutan,Bhutan,0.7,Bhutan,2,Bhutan,0,Bhutan,24
22,Bolivia,40.0,Bolivia,Bolivia,26.8,Bolivia,2,Bolivia,336,Bolivia,5915
23,Bosnia_and_Herzegovina,84.0,Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,5.1,Bosnia_and_Herzegovina,0,Bosnia_and_Herzegovina,19,Bosnia_and_Herzegovina,2391
24,Botswana,166.0,Botswana,Botswana,0.4,Botswana,1,Botswana,0,Botswana,30
25,Brazil,1.0,Brazil,Brazil,84.6,Brazil,2,Brazil,16508,Brazil,347398
26,Brunei_Darussalam,181.0,Brunei_Darussalam,Brunei_Darussalam,0.0,Brunei_Darussalam,1,Brunei_Darussalam,0,Brunei_Darussalam,141
27,Bulgaria,84.0,Bulgaria,Bulgaria,4.1,Bulgaria,0,Bulgaria,0,Bulgaria,2408
28,Burkina_Faso,144.0,Burkina_Faso,Burkina_Faso,0.2,Burkina_Faso,0,Burkina_Faso,0,Burkina_Faso,814
29,Burundi,176.0,Burundi,Burundi,0.0,Burundi,0,Burundi,0,Burundi,42
30,Cambodia,171.0,Cambodia,Cambodia,0.0,Cambodia,1,Cambodia,0,Cambodia,124
31,Cameroon,52.0,Cameroon,Cameroon,8.6,Cameroon,2,Cameroon,197,Cameroon,4597
32,Canada,10.0,Canada,Canada,29.8,Canada,1,Canada,1141,Canada,83610
33,Cape_Verde,94.0,Cape_Verde,Cape_Verde,13.2,Cape_Verde,2,Cape_Verde,9,Cape_Verde,371
34,Cayman_Islands,81.0,Cayman_Islands,Cayman_Islands,90.9,Cayman_Islands,2,Cayman_Islands,8,Cayman_Islands,129
35,Central_African_Republic,96.0,Central_African_Republic,Central_African_Republic,8.0,Central_African_Republic,2,Central_African_Republic,73,Central_African_Republic,552
36,Chad,119.0,Chad,Chad,1.6,Chad,0,Chad,37,Chad,648
37,Chile,5.0,Chile,Chile,192.3,Chile,2,Chile,3536,Chile,65393
38,China,106.0,China,China,0.0,China,1,China,3,China,84084
39,Colombia,23.0,Colombia,Colombia,15.5,Colombia,2,Colombia,1046,Colombia,20177
40,Comoros,108.0,Comoros,Comoros,13.4,Comoros,2,Comoros,0,Comoros,78
41,Congo,122.0,Congo,Congo,2.4,Congo,2,Congo,18,Congo,487
42,Costa_Rica,121.0,Costa_Rica,Costa_Rica,1.8,Costa_Rica,0,Costa_Rica,7,Costa_Rica,918
43,Cote_dIvoire,91.0,Cote_dIvoire,Cote_dIvoire,1.7,Cote_dIvoire,2,Cote_dIvoire,65,Cote_dIvoire,2366
44,Croatia,128.0,Croatia,Croatia,0.7,Croatia,2,Croatia,0,Croatia,2243
45,Cuba,118.0,Cuba,Cuba,0.9,Cuba,0,Cuba,15,Cuba,1931
46,Cyprus,138.0,Cyprus,Cyprus,1.5,Cyprus,0,Cyprus,0,Cyprus,927
47,Czechia,58.0,Czechia,Czechia,6.5,Czechia,2,Czechia,77,Czechia,8890
48,Democratic_Republic_of_the_Congo,95.0,Democratic_Republic_of_the_Congo,Democratic_Republic_of_the_Congo,1.4,Democratic_Republic_of_the_Congo,2,Democratic_Republic_of_the_Congo,116,Democratic_Republic_of_the_Congo,2141
49,Denmark,54.0,Denmark,Denmark,10.4,Denmark,0,Denmark,59,Denmark,11289
50,Djibouti,46.0,Djibouti,Djibouti,151.0,Djibouti,2,Djibouti,0,Djibouti,2270
51,Dominica,196.0,Dominica,Dominica,0.0,Dominica,1,Dominica,0,Dominica,16
52,Dominican_Republic,28.0,Dominican_Republic,Dominican_Republic,33.1,Dominican_Republic,2,Dominican_Republic,433,Dominican_Republic,14422
53,Ecuador,16.0,Ecuador,Ecuador,30.0,Ecuador,0,Ecuador,430,Ecuador,36258
54,Egypt,42.0,Egypt,Egypt,7.4,Egypt,2,Egypt,827,Egypt,16613
55,El_Salvador,66.0,El_Salvador,El_Salvador,12.5,El_Salvador,2,El_Salvador,94,El_Salvador,1819
56,Equatorial_Guinea,59.0,Equatorial_Guinea,Equatorial_Guinea,57.2,Equatorial_Guinea,2,Equatorial_Guinea,140,Equatorial_Guinea,1043
57,Estonia,92.0,Estonia,Estonia,5.9,Estonia,2,Estonia,14,Estonia,1821
58,Eswatini,127.0,Eswatini,Eswatini,4.3,Eswatini,0,Eswatini,18,Eswatini,238
59,Ethiopia,130.0,Ethiopia,Ethiopia,0.3,Ethiopia,2,Ethiopia,61,Ethiopia,494
60,Faroe_Islands,184.0,Faroe_Islands,Faroe_Islands,0.0,Faroe_Islands,1,Faroe_Islands,0,Faroe_Islands,187
61,Fiji,190.0,Fiji,Fiji,0.0,Fiji,1,Fiji,0,Fiji,18
62,Finland,70.0,Finland,Finland,6.7,Finland,0,Finland,31,Finland,6568
63,France,33.0,France,France,6.0,France,1,France,240,France,144806
64,French_Polynesia,187.0,French_Polynesia,French_Polynesia,0.0,French_Polynesia,1,French_Polynesia,0,French_Polynesia,60
65,Gabon,53.0,Gabon,Gabon,48.3,Gabon,2,Gabon,206,Gabon,1934
66,Gambia,173.0,Gambia,Gambia,0.1,Gambia,1,Gambia,0,Gambia,25
67,Georgia,140.0,Georgia,Georgia,1.2,Georgia,0,Georgia,5,Georgia,728
68,Germany,25.0,Germany,Germany,7.2,Germany,1,Germany,431,Germany,178281
69,Ghana,62.0,Ghana,Ghana,4.9,Ghana,2,Ghana,0,Ghana,6617
70,Gibraltar,104.0,Gibraltar,Gibraltar,19.8,Gibraltar,2,Gibraltar,0,Gibraltar,151
