Rank,Country,CaseM,Tendenza,CaseNew,Casitot
31.0,Afghanistan,14.9,2,782,9998
115.0,Albania,2.5,0,8,989
60.0,Algeria,4.3,1,195,8113
134.0,Andorra,2.2,1,0,762
159.0,Angola,0.1,2,0,60
191.0,Antigua_and_Barbuda,0.0,1,0,25
29.0,Argentina,13.3,2,704,11340
35.0,Armenia,103.3,2,374,6302
185.0,Aruba,0.0,1,0,101
104.0,Australia,0.4,0,11,7106
65.0,Austria,4.8,0,46,16407
56.0,Azerbaijan,11.9,0,127,3982
155.0,Bahamas,1.7,2,3,100
30.0,Bahrain,196.0,2,388,8802
28.0,Bangladesh,10.1,2,1873,32078
153.0,Barbados,2.3,0,2,92
11.0,Belarus,98.3,1,941,35244
22.0,Belgium,22.3,0,299,56810
193.0,Belize,0.0,1,0,18
172.0,Benin,-3.0,0,0,135
101.0,Bermuda,26.1,2,5,133
169.0,Bhutan,0.7,2,0,24
40.0,Bolivia,26.8,2,336,5915
84.0,Bosnia_and_Herzegovina,5.1,0,19,2391
166.0,Botswana,0.4,1,0,30
1.0,Brazil,84.6,2,16508,347398
181.0,Brunei_Darussalam,0.0,1,0,141
84.0,Bulgaria,4.1,0,0,2408
144.0,Burkina_Faso,0.2,0,0,814
176.0,Burundi,0.0,0,0,42
171.0,Cambodia,0.0,1,0,124
52.0,Cameroon,8.6,2,197,4597
10.0,Canada,29.8,1,1141,83610
94.0,Cape_Verde,13.2,2,9,371
81.0,Cayman_Islands,90.9,2,8,129
96.0,Central_African_Republic,8.0,2,73,552
119.0,Chad,1.6,0,37,648
5.0,Chile,192.3,2,3536,65393
106.0,China,0.0,1,3,84084
23.0,Colombia,15.5,2,1046,20177
108.0,Comoros,13.4,2,0,78
122.0,Congo,2.4,2,18,487
121.0,Costa_Rica,1.8,0,7,918
91.0,Cote_dIvoire,1.7,2,65,2366
128.0,Croatia,0.7,2,0,2243
118.0,Cuba,0.9,0,15,1931
138.0,Cyprus,1.5,0,0,927
58.0,Czechia,6.5,2,77,8890
95.0,Democratic_Republic_of_the_Congo,1.4,2,116,2141
54.0,Denmark,10.4,0,59,11289
46.0,Djibouti,151.0,2,0,2270
196.0,Dominica,0.0,1,0,16
28.0,Dominican_Republic,33.1,2,433,14422
16.0,Ecuador,30.0,0,430,36258
42.0,Egypt,7.4,2,827,16613
66.0,El_Salvador,12.5,2,94,1819
59.0,Equatorial_Guinea,57.2,2,140,1043
92.0,Estonia,5.9,2,14,1821
127.0,Eswatini,4.3,0,18,238
130.0,Ethiopia,0.3,2,61,494
184.0,Faroe_Islands,0.0,1,0,187
190.0,Fiji,0.0,1,0,18
70.0,Finland,6.7,0,31,6568
33.0,France,6.0,1,240,144806
187.0,French_Polynesia,0.0,1,0,60
53.0,Gabon,48.3,2,206,1934
173.0,Gambia,0.1,1,0,25
140.0,Georgia,1.2,0,5,728
25.0,Germany,7.2,1,431,178281
62.0,Ghana,4.9,2,0,6617
104.0,Gibraltar,19.8,2,0,151
117.0,Greece,0.7,0,3,2876
199.0,Greenland,0.0,1,0,11
192.0,Grenada,0.0,0,0,22
109.0,Guam,12.1,2,1,166
55.0,Guatemala,11.0,2,311,3054
182.0,Guernsey,0.0,1,0,252
63.0,Guinea,7.0,1,109,3176
77.0,Guinea_Bissau,11.0,1,25,1114
150.0,Guyana,2.1,0,0,127
85.0,Haiti,6.1,2,53,865
199.0,Holy_See,0.0,1,0,12
47.0,Honduras,19.1,2,266,3743
