Rank,Country,CaseM,Tendenza,CaseNew,Casitot
1.0,Brazil,84.6,2,16508,347398
2.0,United_States_of_America,69.2,1,21236,1622670
3.0,Peru,122.3,0,4056,115754
4.0,Russia,62.4,0,9434,335882
5.0,Chile,192.3,2,3536,65393
6.0,Saudi_Arabia,76.2,1,2442,70161
7.0,Belarus,98.3,1,941,35244
8.0,Iran,27.1,2,1869,133521
9.0,United_Kingdom,26.3,0,0,254195
10.0,Qatar,575.7,2,1732,42213
11.0,United_Arab_Emirates,92.5,2,812,28704
12.0,Canada,29.8,1,1141,83610
13.0,Kuwait,226.2,1,900,20464
14.0,Singapore,89.6,1,642,31068
15.0,Mexico,22.0,2,3329,65856
16.0,Sweden,49.8,2,379,33188
17.0,Ecuador,30.0,0,430,36258
18.0,Bahrain,196.0,2,388,8802
19.0,Turkey,12.7,0,1186,155686
20.0,Spain,13.1,2,0,235290
21.0,Belgium,22.3,0,299,56810
22.0,Dominican_Republic,33.1,2,433,14422
23.0,South_Africa,16.8,2,1218,21343
24.0,Armenia,103.3,2,374,6302
25.0,Oman,71.5,2,463,7257
26.0,Portugal,23.3,2,271,30471
27.0,Italy,10.7,0,669,229327
28.0,Colombia,15.5,2,1046,20177
29.0,Panama,38.7,2,310,10577
30.0,Pakistan,9.8,2,2164,54601
31.0,Djibouti,151.0,2,0,2270
32.0,Argentina,13.3,2,704,11340
33.0,Bolivia,26.8,2,336,5915
34.0,Afghanistan,14.9,2,782,9998
35.0,Bangladesh,10.1,2,1873,32078
36.0,Moldova,43.9,0,147,6994
37.0,Germany,7.2,1,431,178281
38.0,Kazakhstan,17.2,2,403,8322
39.0,Ireland,16.1,1,76,24582
40.0,Poland,10.5,2,312,20931
41.0,Netherlands,10.3,2,176,45064
42.0,France,6.0,1,240,144806
43.0,Ukraine,8.5,0,432,20580
44.0,Gabon,48.3,2,206,1934
45.0,Honduras,19.1,2,266,3743
46.0,Egypt,7.4,2,827,16613
47.0,India,4.4,2,6767,131868
48.0,Puerto_Rico,23.7,2,70,3100
49.0,Maldives,67.5,2,29,1303
50.0,Tajikistan,18.8,1,201,2551
51.0,Romania,8.4,0,145,17857
52.0,Equatorial_Guinea,57.2,2,140,1043
53.0,Serbia,11.5,2,68,11092
54.0,Denmark,10.4,0,59,11289
55.0,Azerbaijan,11.9,0,127,3982
56.0,Guatemala,11.0,2,311,3054
57.0,Cameroon,8.6,2,197,4597
58.0,Indonesia,2.6,2,949,21745
59.0,Czechia,6.5,2,77,8890
60.0,San_Marino,54.3,2,4,665
61.0,El_Salvador,12.5,2,94,1819
62.0,Luxembourg,12.3,0,9,3990
63.0,Algeria,4.3,1,195,8113
64.0,Cayman_Islands,90.9,2,8,129
65.0,Guinea,7.0,1,109,3176
66.0,Sudan,5.3,2,250,3628
67.0,Ghana,4.9,2,0,6617
68.0,Sao_Tome_and_Principe,44.2,2,40,291
69.0,Austria,4.8,0,46,16407
70.0,Finland,6.7,0,31,6568
71.0,North_Macedonia,11.9,2,20,1941
72.0,Philippines,2.0,0,180,13777
73.0,Switzerland,2.7,0,18,30642
74.0,Iraq,3.8,2,308,4272
75.0,China,0.0,1,3,84084
76.0,Malta,19.3,0,9,609
77.0,Senegal,5.2,0,67,2976
78.0,Morocco,2.5,2,74,7406
79.0,Guinea_Bissau,11.0,1,25,1114
80.0,Nigeria,1.3,2,265,7526
81.0,Japan,0.3,0,14,16550
82.0,Norway,3.5,2,0,8309
83.0,Bermuda,26.1,2,5,133
84.0,Hungary,3.5,0,28,3741
85.0,Malaysia,1.5,2,48,7185
86.0,South_Korea,0.4,2,25,11190
87.0,Cape_Verde,13.2,2,9,371
88.0,Haiti,6.1,2,53,865
89.0,Bosnia_and_Herzegovina,5.1,0,19,2391
90.0,Bulgaria,4.1,0,0,2408
91.0,Israel,1.4,0,0,16690
92.0,Gibraltar,19.8,2,0,151
93.0,Uzbekistan,1.6,2,0,3078
94.0,Kyrgyzstan,4.9,0,39,1403
95.0,Estonia,5.9,2,14,1821
96.0,Democratic_Republic_of_the_Congo,1.4,2,116,2141
97.0,Central_African_Republic,8.0,2,73,552
98.0,Lebanon,4.5,2,11,1097
99.0,Kosovo,6.3,2,21,1025
100.0,Cote_dIvoire,1.7,2,65,2366
101.0,Comoros,13.4,2,0,78
102.0,Lithuania,4.5,2,12,1616
103.0,Australia,0.4,0,11,7106
104.0,Venezuela,2.3,2,0,944
105.0,Guam,12.1,2,1,166
106.0,Thailand,0.0,1,0,3040
107.0,Somalia,1.9,0,0,1594
108.0,Nicaragua,6.5,2,0,279
109.0,South_Sudan,4.3,2,224,563
110.0,Kenya,1.0,2,31,1192
111.0,Mauritania,6.2,2,54,227
112.0,Greece,0.7,0,3,2876
113.0,Cuba,0.9,0,15,1931
114.0,Mali,1.4,2,46,1015
115.0,Latvia,3.3,0,16,1046
116.0,Zambia,1.6,2,0,920
117.0,Sri_Lanka,0.8,0,21,1089
118.0,Nepal,1.7,2,36,584
119.0,Sierra_Leone,2.5,0,15,621
120.0,Albania,2.5,0,8,989
121.0,Chad,1.6,0,37,648
122.0,Jersey,6.2,0,0,306
123.0,Monaco,8.6,2,1,98
124.0,Croatia,0.7,2,0,2243
125.0,Niger,0.3,2,6,943
126.0,Costa_Rica,1.8,0,7,918
127.0,Ethiopia,0.3,2,61,494
128.0,Jordan,1.5,2,4,704
129.0,Paraguay,1.5,0,12,850
130.0,Congo,2.4,2,18,487
131.0,Tunisia,0.2,1,0,1048
132.0,Madagascar,0.9,0,0,448
133.0,Burkina_Faso,0.2,0,0,814
134.0,Slovakia,0.3,0,1,1504
135.0,Eswatini,4.3,0,18,238
136.0,Slovenia,1.0,2,0,1478
137.0,United_Republic_of_Tanzania,0.0,1,0,509
138.0,Vietnam,0.0,1,0,324
139.0,Uruguay,1.4,2,11,764
140.0,New_Zealand,0.2,1,0,1154
141.0,Uganda,0.3,0,48,312
142.0,Togo,1.5,0,10,373
143.0,Palestine,1.5,2,0,602
144.0,Iceland,0.9,2,1,1804
145.0,Cyprus,1.5,0,0,927
146.0,Georgia,1.2,0,5,728
147.0,Jamaica,1.7,2,6,550
148.0,Andorra,2.2,1,0,762
149.0,Taiwan,0.0,1,0,441
150.0,Yemen,0.5,1,7,212
151.0,Myanmar,0.0,0,0,201
152.0,Rwanda,0.4,1,4,325
153.0,Mozambique,0.2,1,4,168
154.0,Liberia,1.0,2,6,255
155.0,Isle_of_Man,2.0,0,0,336
156.0,Sint_Maarten,4.0,2,0,78
157.0,Guyana,2.1,0,0,127
158.0,Angola,0.1,2,0,60
159.0,Cambodia,0.0,1,0,124
160.0,Malawi,0.1,2,1,83
161.0,Benin,-3.0,0,0,135
162.0,Barbados,2.3,0,2,92
163.0,Syria,0.1,1,11,70
164.0,Northern_Mariana_Islands,2.9,0,0,22
165.0,Zimbabwe,0.1,1,0,56
166.0,Bahamas,1.7,2,3,100
167.0,Mauritius,0.0,1,0,332
168.0,Burundi,0.0,0,0,42
169.0,Libya,0.2,2,3,75
170.0,Mongolia,0.1,0,0,141
171.0,Montenegro,0.0,1,0,324
172.0,Laos,0.0,1,0,19
173.0,Papua_New_Guinea,0.0,1,0,8
174.0,Botswana,0.4,1,0,30
175.0,Trinidad_and_Tobago,0.0,1,0,116
176.0,Saint_Vincent_and_the_Grenadines,1.5,1,0,18
177.0,Brunei_Darussalam,0.0,1,0,141
178.0,Guernsey,0.0,1,0,252
179.0,Namibia,0.3,2,1,20
180.0,Bhutan,0.7,2,0,24
181.0,Gambia,0.1,1,0,25
182.0,Faroe_Islands,0.0,1,0,187
183.0,Aruba,0.0,1,0,101
184.0,Timor_Leste,0.0,1,0,24
185.0,Lesotho,0.1,2,1,2
186.0,French_Polynesia,0.0,1,0,60
187.0,Suriname,0.3,1,0,11
188.0,Fiji,0.0,1,0,18
189.0,United_States_Virgin_Islands,0.0,1,0,69
190.0,Liechtenstein,0.0,1,0,83
191.0,Belize,0.0,1,0,18
192.0,Grenada,0.0,0,0,22
193.0,New_Caledonia,0.0,1,0,18
194.0,Antigua_and_Barbuda,0.0,1,0,25
195.0,Saint_Lucia,0.0,1,0,18
196.0,Dominica,0.0,1,0,16
197.0,Seychelles,0.0,1,0,11
198.0,Greenland,0.0,1,0,11
199.0,Holy_See,0.0,1,0,12
200.0,Montserrat,0.0,1,0,11
