Rank,Country,CaseM,Tendenza,CaseNew,Casitot
1.0,Brazil,4.7,2,965,22013
2.0,United_Kingdom,4.4,0,0,36393
3.0,United_States_of_America,3.8,1,1080,97087
4.0,Sweden,5.1,2,67,3992
5.0,Spain,3.5,2,0,28678
6.0,Peru,3.8,0,129,3373
7.0,Mexico,2.6,2,190,7179
8.0,Italy,2.3,0,119,32735
9.0,Ecuador,3.5,0,40,3096
10.0,Canada,2.6,1,105,6355
11.0,Belgium,2.7,0,25,9237
12.0,France,1.5,0,43,28332
13.0,Ireland,2.1,0,12,1604
14.0,Chile,2.0,2,43,673
15.0,Netherlands,1.3,0,23,5811
16.0,Russia,0.9,2,139,3388
17.0,Iran,0.8,2,59,7359
18.0,Germany,0.6,1,31,8247
19.0,Portugal,1.4,2,13,1302
20.0,San_Marino,4.9,2,1,42
21.0,Turkey,0.3,0,32,4308
22.0,Romania,0.6,0,11,1170
23.0,Switzerland,0.8,0,4,1641
24.0,Moldova,1.5,0,5,242
25.0,Bolivia,1.0,2,10,240
26.0,India,0.1,1,147,3867
27.0,Colombia,0.4,1,23,705
28.0,Pakistan,0.2,1,32,1133
29.0,Kuwait,1.5,0,10,148
30.0,China,0.0,1,0,4638
31.0,Poland,0.3,1,11,993
32.0,Indonesia,0.1,1,25,1351
33.0,Panama,1.0,0,4,299
34.0,Jersey,3.1,1,0,29
35.0,South_Africa,0.4,2,10,407
36.0,Egypt,0.2,1,28,735
37.0,Ukraine,0.3,0,17,605
38.0,Philippines,0.1,1,6,863
39.0,Japan,0.1,1,12,820
40.0,Dominican_Republic,0.5,2,2,458
41.0,Argentina,0.3,2,12,445
42.0,Algeria,0.2,1,10,592
43.0,Saudi_Arabia,0.3,1,15,379
44.0,Bangladesh,0.1,1,20,452
45.0,Hungary,0.4,0,4,486
46.0,Denmark,0.4,0,0,561
47.0,Honduras,0.6,2,7,174
48.0,North_Macedonia,1.0,0,1,113
49.0,United_Arab_Emirates,0.4,1,3,244
50.0,Czechia,0.3,2,2,314
51.0,Austria,0.2,2,4,639
52.0,Belarus,0.5,1,4,194
53.0,Armenia,1.0,2,3,77
54.0,Afghanistan,0.2,2,11,216
55.0,South_Korea,0.0,1,0,266
56.0,Nigeria,0.0,1,0,221
57.0,Sudan,0.2,2,9,146
58.0,Finland,0.2,0,0,306
59.0,Iraq,0.1,1,5,152
60.0,Bosnia_and_Herzegovina,0.5,0,0,141
61.0,Morocco,0.0,1,1,198
62.0,Israel,0.1,0,0,279
63.0,Bulgaria,0.4,0,0,126
64.0,Cameroon,0.1,2,0,159
65.0,Serbia,0.2,0,1,238
66.0,Greece,0.1,0,2,171
67.0,Norway,0.1,1,0,235
68.0,Malaysia,0.0,1,0,115
69.0,Democratic_Republic_of_the_Congo,0.0,1,0,63
70.0,Luxembourg,0.5,0,0,109
71.0,Thailand,0.0,1,0,56
72.0,Guatemala,0.2,1,4,55
73.0,Niger,0.1,1,1,61
74.0,Mali,0.1,1,1,63
75.0,Australia,0.0,1,1,102
76.0,Lithuania,0.4,1,2,63
77.0,Oman,0.5,2,4,36
78.0,Puerto_Rico,0.2,0,1,127
79.0,Djibouti,1.0,1,0,10
80.0,Somalia,0.1,1,0,61
81.0,Kenya,0.0,1,0,50
82.0,Chad,0.1,1,1,60
83.0,Croatia,0.2,2,0,99
84.0,Yemen,0.1,1,6,39
85.0,Azerbaijan,0.2,2,3,49
86.0,Cuba,0.0,1,0,81
87.0,Burkina_Faso,0.0,1,0,52
88.0,Slovenia,0.2,1,0,106
89.0,Senegal,0.1,1,2,35
90.0,Sierra_Leone,0.2,1,1,39
91.0,Ghana,0.0,1,0,31
92.0,United_Republic_of_Tanzania,0.0,1,0,21
93.0,Tajikistan,0.1,0,0,44
94.0,Tunisia,0.0,1,1,48
95.0,Cote_dIvoire,0.0,1,1,30
96.0,Kazakhstan,0.0,1,0,35
97.0,Equatorial_Guinea,0.6,2,2,12
98.0,Qatar,0.4,2,2,21
99.0,Haiti,0.1,2,1,26
100.0,Sao_Tome_and_Principe,0.8,1,0,8
101.0,Estonia,0.1,0,0,64
102.0,Guinea,0.1,0,1,20
103.0,El_Salvador,0.1,0,2,35
104.0,Liberia,0.2,2,2,26
105.0,Ethiopia,0.0,1,0,5
106.0,Uzbekistan,0.0,1,0,13
107.0,Nicaragua,0.2,2,0,17
108.0,Latvia,0.3,2,0,22
109.0,Myanmar,0.0,1,0,6
110.0,Venezuela,0.0,1,0,10
111.0,Vietnam,0.0,1,0,0
112.0,Sri_Lanka,0.0,1,0,9
113.0,Lebanon,0.0,1,0,26
114.0,Taiwan,0.0,1,0,7
115.0,Slovakia,0.0,1,0,28
116.0,Uganda,0.0,1,0,0
117.0,Angola,0.0,1,0,3
118.0,Uruguay,0.1,2,2,22
119.0,Singapore,0.0,0,0,23
120.0,Nepal,0.0,1,0,3
121.0,Zambia,0.0,1,0,7
122.0,Albania,0.0,1,0,31
123.0,Madagascar,0.0,1,0,2
124.0,Mozambique,0.0,1,0,0
125.0,Malawi,0.0,1,1,4
126.0,New_Zealand,0.0,1,0,21
127.0,Syria,0.0,1,0,4
128.0,Jordan,0.0,1,0,9
129.0,Togo,0.0,1,0,12
130.0,Zimbabwe,0.0,1,0,4
131.0,Congo,0.0,1,0,16
132.0,Kyrgyzstan,0.0,1,0,14
133.0,Kosovo,0.0,1,0,29
134.0,Andorra,0.0,0,0,51
135.0,South_Sudan,0.0,0,0,6
136.0,Benin,0.0,1,0,3
137.0,Paraguay,0.0,1,0,11
138.0,Cambodia,0.0,1,0,0
139.0,Rwanda,0.0,1,0,0
140.0,Gabon,0.1,0,0,12
141.0,Burundi,0.0,1,0,1
142.0,Guinea_Bissau,0.2,0,0,6
143.0,Mauritania,0.1,1,1,6
144.0,Bahrain,0.1,0,1,13
145.0,Costa_Rica,0.0,0,0,10
146.0,Georgia,0.0,1,0,12
147.0,Libya,0.0,1,0,3
148.0,Cyprus,0.0,1,0,17
149.0,Papua_New_Guinea,0.0,1,0,0
150.0,Laos,0.0,1,0,0
151.0,Jamaica,0.0,1,0,9
152.0,Palestine,0.0,1,1,5
153.0,Isle_of_Man,0.0,0,0,24
154.0,Central_African_Republic,0.0,1,1,1
155.0,Mauritius,0.0,1,0,10
156.0,Trinidad_and_Tobago,0.0,1,0,8
157.0,Guyana,0.0,1,0,10
158.0,Montenegro,0.0,1,0,9
159.0,Bahamas,0.0,1,0,11
160.0,Mongolia,0.0,1,0,0
161.0,Iceland,0.0,1,0,10
162.0,Gambia,0.0,1,0,1
163.0,Botswana,0.0,1,0,1
164.0,Namibia,0.0,1,0,0
165.0,Sint_Maarten,0.0,1,0,15
166.0,Lesotho,0.0,1,0,0
167.0,Eswatini,0.0,1,0,2
168.0,Guernsey,0.0,1,0,13
169.0,Malta,0.0,1,0,6
170.0,Barbados,0.0,1,0,7
171.0,Maldives,0.0,1,0,4
172.0,Timor_Leste,0.0,1,0,0
173.0,Cape_Verde,0.0,0,0,3
174.0,Comoros,0.0,1,0,1
175.0,Bermuda,0.0,1,0,9
176.0,Fiji,0.0,1,0,0
177.0,United_States_Virgin_Islands,0.0,1,0,6
178.0,Guam,0.0,1,0,5
179.0,Suriname,0.0,1,0,1
180.0,Bhutan,0.0,1,0,0
181.0,Belize,0.0,1,0,2
182.0,Brunei_Darussalam,0.0,1,0,1
183.0,Aruba,0.0,1,0,3
184.0,New_Caledonia,0.0,1,0,0
185.0,Antigua_and_Barbuda,0.0,1,0,3
186.0,French_Polynesia,0.0,1,0,0
187.0,Saint_Lucia,0.0,1,0,0
188.0,Monaco,0.0,0,0,5
189.0,Grenada,0.0,1,0,0
190.0,Saint_Vincent_and_the_Grenadines,0.0,1,0,0
191.0,Seychelles,0.0,1,0,0
192.0,Northern_Mariana_Islands,0.0,1,0,2
193.0,Cayman_Islands,0.0,1,0,1
194.0,Dominica,0.0,1,0,0
195.0,Greenland,0.0,1,0,0
196.0,Liechtenstein,0.0,1,0,1
197.0,Faroe_Islands,0.0,1,0,0
198.0,Montserrat,0.0,1,0,1
199.0,Gibraltar,0.0,1,0,0
200.0,Holy_See,0.0,1,0,0
